track_name,artist(s)_name,released_year,in_spotify_charts,streams
Blinding Lights,The Weeknd,2019,69,3703895074
Shape of You,Ed Sheeran,2017,10,3562543890
Someone You Loved,Lewis Capaldi,2018,53,2887241814
Dance Monkey,Tones and I,2019,0,2864791672
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018,78,2808096550
One Dance,"Drake, WizKid, Kyla",2016,24,2713922350
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,36,2665343922
Believer,Imagine Dragons,2017,23,2594040133
Closer,"The Chainsmokers, Halsey",2016,0,2591224264
Starboy,"The Weeknd, Daft Punk",2016,79,2565529693
Perfect,Ed Sheeran,2017,13,2559529074
Heat Waves,Glass Animals,2020,63,2557975762
As It Was,Harry Styles,2022,130,2513188493
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2019,2,2484812918
Say You Won't Let Go,James Arthur,2016,16,2420461338
lovely - Bonus Track,"Billie Eilish, Khalid",2017,30,2355719893
Watermelon Sugar,Harry Styles,2019,34,2322580122
Don't Start Now,Dua Lipa,2019,0,2303033973
Lucid Dreams,Juice WRLD,2017,0,2288695111
Sweater Weather,The Neighbourhood,2012,61,2282771485
Thinking Out Loud,Ed Sheeran,2014,0,2280566092
Photograph,Ed Sheeran,2014,3,2236667932
Something Just Like This,"The Chainsmokers, Coldplay",2017,21,2204080728
Bohemian Rhapsody - Remastered 2011,Queen,1975,3,2197010679
Shallow,"Lady Gaga, Bradley Cooper",2018,12,2159346687
Take Me To Church,Hozier,2013,31,2135158446
Circles,Post Malone,2019,16,2132335812
Love Yourself,Justin Bieber,2015,5,2123309722
All of Me,John Legend,2013,0,2086124197
Counting Stars,OneRepublic,2013,43,2011464183
Riptide,Vance Joy,1975,55,2009094673
Wake Me Up - Radio Edit,Avicii,2013,34,1970673297
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011,52,1953533826
The Hills,The Weeknd,2015,4,1947371785
HUMBLE.,Kendrick Lamar,2017,1,1929770265
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2017,10,1897517891
good 4 u,Olivia Rodrigo,2021,6,1887039593
drivers license,Olivia Rodrigo,2021,3,1858144199
Demons,Imagine Dragons,2012,13,1840364617
Lose Yourself - Soundtrack Version,Eminem,2002,21,1829992958
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2021,0,1814349763
Another Love,Tom Odell,2012,83,1813673666
Mr. Brightside,The Killers,2003,15,1806617704
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2020,8,1802514301
No Role Modelz,J. Cole,2014,36,1791000570
Do I Wanna Know?,Arctic Monkeys,2013,26,1788326445
Dakiti,"Bad Bunny, Jhay Cortez",2020,21,1763363713
Memories,Maroon 5,2019,2,1759567999
Yellow,Chris Molitor,1999,43,1755214421
MONTERO (Call Me By Your Name),Lil Nas X,2020,0,1735441776
There's Nothing Holdin' Me Back,Shawn Mendes,2016,0,1714490998
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2020,0,1699402402
'Till I Collapse,"Eminem, Nate Dogg",2002,0,1695712020
Dynamite,BTS,2020,5,1692897992
Smells Like Teen Spirit - Remastered 2021,Nirvana,1991,9,1690192927
Without Me,Eminem,2002,43,1687664027
When I Was Your Man,Bruno Mars,2012,11,1661187319
Die For You,The Weeknd,2016,59,1647990401
Just The Way You Are,Bruno Mars,2010,13,1641426668
In The End,Linkin Park,2000,6,1624165576
The Scientist,Coldplay,2002,6,1608164312
Before You Go,Lewis Capaldi,2019,24,1608045237
I'm Not The Only One,Sam Smith,2014,3,1606986953
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",2017,52,1605224506
Every Breath You Take - Remastered 2003,The Police,1983,19,1593270737
Viva La Vida,Coldplay,2008,62,1592909789
Save Your Tears,The Weeknd,2020,13,1591223784
Kiss Me More (feat. SZA),"SZA, Doja Cat",2021,0,1575467011
Bad Habits,Ed Sheeran,2020,8,1555511105
